"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","DayComp","Day"
"Otu0087",92.6306417195459,4.33074876175,0.820531048865107,5.2779827987496,1.30613722436724e-07,1.5428745962838e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurellaceae_unclassified","0.0e+00","IAV","Otu0087","D0_IAVvsControl","D0","D0"
"Otu0215",19.7858346481424,2.961344800857,0.419220275299277,7.06393506073369,1.61852406168719e-12,5.09835079431463e-11,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","0.0e+00","IAV","Otu0215","D0_IAVvsControl","D0","D0"
"Otu0002",4869.31879416655,1.06573711139979,0.308803478847525,3.45118233569514,0.000558136360765801,0.00461730989360799,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","5.0e-03","IAV","Otu0002","D3_IAVvsControl","D3","D3"
"Otu00871",10.9776769805583,2.04595671656987,0.787921222300664,2.59665136394708,0.00941374187705963,0.037245674383149,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurellaceae_unclassified","3.7e-02","IAV","Otu0087","D3_IAVvsControl","D3","D3"
"Otu00021",6594.93735134469,1.28531714686557,0.355711681760265,3.61336782785735,0.000302245457723356,0.00186384698929403,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","2.0e-03","IAV","Otu0002","D7_IAVvsControl","D7","D7"
"Otu0004",3637.0436163733,1.9905906608787,0.372549872347063,5.34315217540671,9.13440158614255e-08,1.931273478213e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","0.0e+00","IAV","Otu0004","D7_IAVvsControl","D7","D7"
"Otu02151",2.91951318512571,2.75101734749083,0.647874904731372,4.24621686594187,2.17410208499302e-05,0.000159684049690867,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","0.0e+00","IAV","Otu0215","D21_IAVvsControl","D21","D21"
"Otu00022",4869.31879416655,1.06573711139979,0.308803478847525,3.45118233569514,0.000558136360765801,0.00461730989360799,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","5.0e-03","IAV","Otu0002","D3_IAVvsControl","D3","D3"
"Otu00872",10.9776769805583,2.04595671656987,0.787921222300664,2.59665136394708,0.00941374187705963,0.037245674383149,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurellaceae_unclassified","3.7e-02","IAV","Otu0087","D3_IAVvsControl","D3","D3"
"Otu00023",6594.93735134469,1.28531714686557,0.355711681760265,3.61336782785735,0.000302245457723356,0.00186384698929403,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","2.0e-03","IAV","Otu0002","D7_IAVvsControl","D7","D7"
"Otu00041",3637.0436163733,1.9905906608787,0.372549872347063,5.34315217540671,9.13440158614255e-08,1.931273478213e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","0.0e+00","IAV","Otu0004","D7_IAVvsControl","D7","D7"
"Otu02152",2.91951318512571,2.75101734749083,0.647874904731372,4.24621686594187,2.17410208499302e-05,0.000159684049690867,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","0.0e+00","IAV","Otu0215","D21_IAVvsControl","D21","D21"
