log2FoldChange,Phylum,Class,Order,Family,Genus,DayComp,Day,Treatment
4.330748762,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified,D0,D0,IAV
2.961344801,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,D0,D0,IAV
1.065737111,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,D3,D3,IAV
2.045956717,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified,D3,D3,IAV
1.285317147,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,D7,D7,IAV
1.990590661,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,D7,D7,IAV
2.751017347,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,D21,D21,IAV
1.065737111,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,D3,D3,IAV
2.045956717,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified,D3,D3,IAV
1.285317147,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,D7,D7,IAV
1.990590661,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,D7,D7,IAV
2.751017347,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,D21,D21,IAV
0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified,D1,D1,IAV
0,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,D1,D1,IAV
0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,D1,D1,IAV
0,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,D1,D1,IAV
0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified,D14,D14,IAV
0,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,D14,D14,IAV
0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,D14,D14,IAV
0,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,D14,D14,IAV
